n/n;Номер заказа;Автомобиль (марка, модель);Заказ-наряд;Возраст, лет;Допустимая надбавка;  Цена по акту, руб  ;  Цена  по нормативам, руб  ;  Отклонение, руб  
1;2455;Лада Приора гос. номер: Т4106 23 VIN: ХТА217030В0327141 год вып. 2011;1818188100962002312194450/ АСЮ0002455-37 от 19.11.2018;7;10;19 708,47;19 122,41;586,06
2;2456;Лада Приора гос. номер: Т4106 23 VIN: ХТА217 год вып. 2011;1818188100962002312194450/ АСЮ0002456-34 от 19.11.2018;7;10;11 153,97;11 579,31;-425,34
3;2457;ВАЗ-21150 гос. номер: О171ЕА 123 VIN: XTA211540B5037281 год вып. 2009;1818188100962002312194450/ АСЮ0002457-39 от 20.11.2018;9;10;25 663,58;24 954,60;708,98
4;2458;ВАЗ 213100 гос. номер: А05В5 23 VIN: XTA213100G0179098 год вып. 2015;1818188100962002312194450/ АСЮ0002458-41 от 22.11.2018;3;0;22 118,87;19 245,29;2 873,58
5;2461;Шевролет Нива гос. номер: К266КК 123 VIN: X9L212300CD год вып. 2012;1818188100962002312194450/ АСЮ0002461-35 от 21.11.2018;6;10;21 694,29;24 595,41;-2 901,12
6;2494;Лада Гранта гос. номер: С978ТЕ 123 VIN: ХТА219010Н0474947 год вып. 2017;1818188100962002312194450/ АСЮ0002494-3 от 01.11.2018;1;0;3 166,60;3 365,09;-198,49
7;2496;Лада Приора гос. номер: К800РР 123 VIN: ХТА21705000528754 год вып. 2015;1818188100962002312194450/ АСЮ0002496-4 от 02.11.2018;3;0;4 868,05;6 040,15;-1 172,10
8;2497;Лада Приора гос. номер: Е110УО 93 VIN: ХТА217230А0113273 год вып. 2010;1818188100962002312194450/ АСЮ0002497-1 от 21.11.2018;8;10;3 119,33;3 573,05;-453,72
9;2498;Лада Приора гос. номер:  К939ОХ123 VIN: XTA217050F0511839 год вып. 2015;1818188100962002312194450/ АСЮ0002498-6 от 02.11.2018;3;0;15 265,82;15 587,17;-321,35
10;2499;Лада Приора гос. номер: К0940 23 VIN: XTА217030В0326604 год вып. 2011;1818188100962002312194450/ АСЮ0002499-7 от 05.11.2018;7;10;28 026,74;28 111,74;-85
11;2500;Шевролет Нива гос. номер: Е658ЕХ 93 VIN: X9L21230050104236 год вып. 2005;1818188100962002312194450/ АСЮ0002500-8 от 05.11.2018;13;20;26 608,86;26 911,27;-302,41
12;2502;Лада Приора гос. номер: К0969 23 VIN: ХТА217030В0326953 год вып. 2011;1818188100962002312194450/ АСЮ0002502-9 от 05.11.2018;7;10;16 872,75;18 290,59;-1 417,84
13;2503;Лада Приора гос. номер: К0346 23 VIN: XTA217030B03 27073 год вып. 2011;1818188100962002312194450/ АСЮ0002503-10 от 06,11.2018;7;10;8 460,02;9 792,79;-1 332,77
14;2504;Лада Приора гос. номер: М876ОВ 123 VIN:  ХТА217030Е0469542 год вып. 2014;1818188100962002312194450/ АСЮ0002504-11 от 06.11.2018;4;0;11 390,29;11 843,98;-453,69
15;2505;Шевролет Нива гос. номер: Н438ОХ 123 VIN: X9L212300F0554302 год вып. 2015;1818188100962002312194450/ АСЮ0002505-2 от 01.11.2018;3;0;10 161,47;10 199,25;-37,78
16;2513;Лада Гранта гос. номер: У087УК 123 VIN: ХТА219010J0547457 год вып. 2018;1818188100962002312194450/ АСЮ0002513-13 от 07.11.2018;0;0;1 843,24;1 947,22;-103,98
17;2514;Лада Гранта гос. номер: М284СК 123 VIN: XTA219170GY227711 год вып. 2016;1818188100962002312194450/ АСЮ0002514-5 от 02.11.2018;2;0;4 820,78;4 924,75;-103,97
18;2523;Лада Приора гос. номер: Х311ОС 123 VIN: XTA217D50F0495161 год вып. 2014;1818188100962002312194450/ АСЮ0002523 от 07.11.2018;4;0;16 967,26;16 551,33;415,93
